GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
work,ua.lviv.iot.lab7,InputText,18,76,7,15,3,13,8,8,1,4
work,ua.lviv.iot.lab7,StringProcessor,32,0,0,0,11,0,3,0,3,0
